time(sec),pressure-1(bar),pressure-2(bar),pressure-3(bar),flow_rate_1(LPM),flow_rate_2(LPM)
11.448,0.428,-1.909,2.987,304.047,1013.704
11.498,0.427,-1.929,2.291,304.660,1013.226
11.549,0.433,-1.777,1.828,304.104,1013.713
11.598,0.434,-1.784,2.652,304.207,1014.855
11.648,0.441,-1.940,2.028,304.735,1014.635
11.698,0.439,-1.848,2.110,304.045,1013.916
11.748,0.431,-1.806,2.731,304.722,1013.170
11.798,0.431,-1.820,14.278,304.625,1012.811
11.849,0.425,-1.726,6.979,304.925,1014.080
11.898,0.425,-1.722,2.613,304.273,1016.403
11.948,0.432,-1.918,2.055,304.108,1020.306
11.999,0.431,-1.720,2.564,304.715,1022.133
12.049,0.424,-1.699,2.609,304.048,1022.888
12.099,0.426,-1.745,2.324,304.863,1024.049
12.148,0.431,-1.836,6.927,304.999,1025.223
12.198,0.430,-1.776,2.613,304.107,1025.480
12.249,0.433,-1.929,3.010,304.737,1027.423
12.298,0.434,-1.750,2.491,304.748,1027.358
12.348,0.428,-1.823,2.170,304.111,1064.438
12.398,0.428,-1.849,2.580,304.760,1092.175
12.448,0.430,-1.924,2.478,304.289,1084.863
12.498,0.431,-1.852,2.550,304.376,1074.428
12.548,0.440,-1.673,2.596,304.087,1062.224
12.598,0.441,-1.885,2.869,304.029,1054.604
12.648,0.427,-1.805,3.483,304.989,1047.424
12.698,0.427,-1.834,1.792,304.415,1041.797
12.748,0.426,-1.849,1.214,304.243,1037.960
12.799,0.424,-1.907,4.133,304.482,1035.096
12.848,0.424,-1.807,3.128,303.918,1032.950
12.898,0.426,-1.767,11.451,304.447,1028.873
12.948,0.430,-1.793,2.324,304.271,1025.627
12.998,0.427,-1.810,1.959,304.376,1022.850
13.048,0.435,-1.843,2.311,304.904,1021.657
13.098,0.436,-1.799,2.350,304.167,1019.664
13.148,0.441,-1.919,1.884,304.311,1020.349
13.198,0.442,-1.724,2.344,304.107,1019.113
13.249,0.437,-1.815,2.035,304.291,1017.831
13.298,0.434,-1.825,-0.024,304.843,1016.597
13.348,0.437,-1.816,2.445,304.114,1016.395
13.398,0.438,-1.849,1.785,304.707,1017.449
13.449,0.427,-1.804,4.284,304.664,1018.966
13.498,0.426,-1.727,2.715,304.140,1019.754
13.549,0.429,-1.868,2.613,305.022,1019.920
13.598,0.430,-1.881,9.773,304.642,1019.633
13.648,0.431,-1.853,2.994,304.350,1020.017
13.698,0.432,-1.767,0.991,304.735,1020.450
13.748,0.434,-1.697,2.544,304.153,1021.767
13.798,0.436,-1.684,1.894,304.789,1021.466
13.848,0.429,-1.806,2.606,304.599,1020.711
13.898,0.429,-1.856,2.580,304.183,1021.101
13.948,0.431,-1.759,2.754,304.862,1021.937
13.998,0.428,-1.655,2.701,304.704,1021.434
14.048,0.429,-1.755,2.449,304.911,1023.491
14.098,0.429,-1.753,2.672,304.143,1023.442
14.148,0.426,-1.839,2.550,304.033,1023.176
14.198,0.425,-1.687,2.311,304.177,1023.385
14.248,0.433,-1.720,2.153,304.367,1022.630
14.298,0.432,-1.775,2.583,305.039,1023.579
14.348,0.428,-1.879,2.603,304.218,1023.081
14.398,0.427,-1.719,2.577,304.136,1024.936
14.448,0.430,-1.796,2.209,304.966,1024.205
14.498,0.432,-1.752,2.222,304.145,1024.106
14.548,0.429,-1.681,2.058,304.643,1023.808
14.598,0.430,-1.745,2.084,304.832,1024.763
14.648,0.430,-1.850,2.984,304.228,1026.154
14.698,0.428,-1.648,-0.483,304.833,1025.066
14.748,0.425,-1.875,1.030,304.316,1025.006
14.798,0.423,-1.699,6.027,304.145,1024.469
14.848,0.433,-1.743,1.753,305.018,1024.923
14.899,0.434,-1.768,2.695,304.215,1026.357
14.949,0.428,-1.742,-0.086,304.793,1027.952
14.998,0.429,-1.675,2.912,304.586,1028.600
15.048,0.435,-1.770,3.686,304.597,1028.884
15.098,0.436,-1.662,2.751,304.748,1028.781
15.149,0.440,-1.753,6.812,304.104,1028.571
15.198,0.441,-1.755,1.841,304.298,1030.883
15.248,0.426,-1.658,4.133,304.411,1031.000
15.299,0.425,-1.682,1.966,304.262,1030.910
15.349,0.425,-1.773,1.116,304.741,1030.914
15.398,0.424,-1.708,0.840,304.414,1031.361
15.448,0.427,-1.628,2.035,304.465,1032.329
15.499,0.427,-1.790,2.481,303.937,1031.977
15.548,0.427,-1.796,2.462,304.219,1034.207
15.598,0.426,-1.694,2.055,305.048,1034.474
15.648,0.426,-1.802,2.514,304.116,1034.749
15.698,0.428,-1.713,1.822,304.334,1034.053
15.748,0.431,-1.766,2.537,304.622,1033.849
15.798,0.428,-1.867,9.869,304.096,1034.558
15.848,0.427,-1.815,12.006,304.538,1034.382
15.899,0.428,-1.818,2.777,304.252,1034.554
15.948,0.426,-1.657,2.498,304.532,1035.044
15.999,0.431,-1.771,2.721,304.537,1034.392
16.048,0.432,-1.556,2.462,304.133,1033.888
16.098,0.432,-1.801,2.212,304.808,1033.035
16.148,0.432,-1.661,2.429,304.761,1035.235
16.198,0.431,-1.739,2.790,304.411,1034.984
16.248,0.431,-1.818,0.098,304.767,1034.384
16.299,0.431,-1.816,3.916,304.135,1034.157
16.348,0.428,-1.724,1.171,305.048,1033.300
16.398,0.431,-1.710,2.357,304.158,1033.241
16.448,0.431,-1.682,13.004,304.148,1035.224
16.499,0.425,-1.751,2.061,303.973,1033.472
16.548,0.423,-1.786,2.163,304.334,1035.206
16.598,0.426,-1.574,2.462,304.525,1034.491
16.648,0.428,-1.597,2.071,304.694,1034.533
16.698,0.427,-1.735,-0.746,304.107,1035.540
16.748,0.426,-1.643,2.347,304.726,1035.912
16.798,0.430,-1.814,1.746,304.252,1034.892
16.848,0.429,-1.685,2.442,304.256,1035.663
16.899,0.432,-1.897,2.780,304.042,1036.528
16.949,0.431,-1.636,2.613,304.049,1035.844
16.998,0.427,-1.738,2.202,304.442,1037.839
17.049,0.426,-1.728,3.956,303.985,1038.246
17.098,0.432,-1.661,2.435,304.457,1039.270
17.148,0.435,-1.725,1.175,304.748,1038.974
17.198,0.432,-1.706,2.550,304.147,1038.689
17.248,0.433,-1.752,1.989,304.845,1038.682
17.299,0.430,-1.804,2.547,304.432,1038.832
17.348,0.430,-1.609,2.504,304.265,1040.124
17.398,0.427,-1.601,2.642,304.744,1041.275
17.448,0.431,-1.721,2.603,304.565,1041.206
17.498,0.429,-1.674,3.434,304.351,1041.358
17.549,0.427,-1.636,2.245,304.197,1041.836
17.599,0.432,-1.736,0.994,304.406,1042.251
17.648,0.433,-1.693,2.698,305.002,1043.962
17.698,0.442,-1.785,1.342,304.148,1043.364
17.749,0.440,-1.653,2.258,304.894,1044.628
17.798,0.440,-1.774,2.626,304.774,1043.560
17.848,0.443,-1.541,-0.119,304.351,1043.548
17.899,0.430,-1.858,2.409,304.370,1043.382
17.948,0.430,-1.741,2.304,304.522,1044.723
17.999,0.434,-1.791,2.429,304.668,1043.891
18.048,0.432,-1.775,2.892,304.900,1044.095
18.098,0.433,-1.602,2.370,304.246,1044.274
18.148,0.433,-1.787,2.340,304.484,1043.303
18.198,0.431,-1.685,2.701,304.697,1043.786
18.248,0.432,-1.806,2.399,304.776,1043.341
18.298,0.431,-1.614,2.826,304.879,1044.604
18.348,0.431,-1.765,2.636,304.353,1044.597
18.398,0.426,-1.849,2.780,304.561,1043.658
18.448,0.425,-1.739,8.674,304.665,1043.453
18.498,0.424,-2.002,3.299,304.857,1043.254
18.548,0.424,-1.819,-0.923,304.827,1044.916
18.598,0.432,-1.669,2.629,304.370,1043.655
18.648,0.432,-1.775,2.619,304.704,1044.936
18.698,0.434,-1.746,2.127,304.346,1045.166
18.748,0.432,-1.834,-2.348,304.111,1043.623
18.798,0.430,-1.645,2.557,304.743,1043.945
18.849,0.429,-1.825,9.068,304.363,1043.799
18.898,0.433,-1.754,2.642,304.142,1045.330
18.948,0.433,-1.774,2.104,304.138,1045.651
18.999,0.430,-1.643,2.068,304.133,1045.526
19.048,0.432,-1.709,2.235,304.616,1045.256
19.098,0.431,-1.732,2.137,303.885,1044.792
19.148,0.432,-1.704,2.432,304.396,1045.821
19.198,0.432,-1.670,2.472,304.551,1046.424
19.248,0.433,-1.852,1.818,304.700,1046.151
19.298,0.430,-1.773,2.334,304.844,1045.650
19.348,0.430,-1.762,2.547,304.617,1044.897
19.399,0.436,-1.754,2.511,304.433,1045.212
19.448,0.438,-1.720,2.074,304.816,1046.148
19.498,0.437,-1.768,2.327,304.036,1046.846
19.548,0.438,-1.798,2.508,304.717,1046.642
19.598,0.437,-1.789,2.426,304.642,1045.849
19.648,0.437,-1.763,1.408,304.110,1045.241
19.698,0.431,-1.755,1.818,304.450,1045.775
19.749,0.433,-1.785,2.554,304.340,1045.954
