Model : ,06,,,,,,,,,,
Serial No : ,0001,,,,,,,,,,
Type : ,,,,,,,,,,,
Test Date : ,2024-08-07,,,,,,,,,,
Sampling Rate : ,100 Hz,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],- [V],외부유량 [lpm],내부유량 [lpm
-0.04,0.31,0.06,0.04,0.06,-0.02,-0.02,306.09,29.36,0.00,0.27,-2.18
-0.05,0.31,0.07,0.05,0.07,-0.01,-0.03,305.10,29.36,0.00,0.31,-2.28
-0.06,0.30,0.07,0.07,0.08,0.00,-0.03,301.12,29.36,0.00,0.34,-2.46
-0.06,0.28,0.07,0.08,0.09,0.02,-0.02,295.35,29.36,0.00,0.36,-2.67
-0.07,0.24,0.06,0.08,0.10,0.03,-0.01,290.13,29.36,0.00,0.29,-2.85
-0.07,0.20,0.04,0.08,0.10,0.05,-0.00,287.19,29.37,0.00,0.09,-2.95
-0.06,0.15,0.03,0.07,0.10,0.07,0.01,287.08,29.37,0.00,-0.19,-2.98
-0.06,0.10,0.02,0.05,0.09,0.08,0.02,289.81,29.37,0.00,-0.44,-2.94
-0.06,0.07,0.01,0.03,0.08,0.08,0.03,294.86,29.37,0.00,-0.56,-2.83
-0.06,0.06,0.00,0.01,0.07,0.07,0.03,300.72,29.37,0.00,-0.56,-2.71
-0.06,0.06,0.00,0.00,0.05,0.06,0.03,305.62,29.38,0.00,-0.51,-2.60
-0.05,0.08,0.01,-0.01,0.04,0.04,0.03,308.54,29.38,0.00,-0.51,-2.54
-0.04,0.10,0.02,-0.00,0.03,0.02,0.02,309.39,29.38,0.00,-0.55,-2.52
-0.03,0.12,0.04,0.01,0.03,-0.00,0.01,308.72,29.38,0.00,-0.60,-2.55
-0.03,0.14,0.05,0.02,0.03,-0.01,-0.00,307.21,29.38,0.00,-0.61,-2.62
-0.02,0.15,0.07,0.04,0.04,-0.02,-0.01,305.58,29.38,0.00,-0.58,-2.71
-0.03,0.15,0.08,0.06,0.05,-0.01,-0.02,304.32,29.38,0.00,-0.51,-2.81
-0.03,0.14,0.08,0.08,0.06,-0.00,-0.02,303.64,29.38,0.00,-0.42,-2.92
-0.04,0.13,0.09,0.09,0.07,0.01,-0.02,303.28,29.38,0.00,-0.33,-3.01
-0.05,0.11,0.08,0.10,0.08,0.03,-0.01,302.52,29.38,0.00,-0.25,-3.04
