시간 [s],진공압력 1 [bar],메인압력 1 [bar],제품압력 1 [bar],제품압력 2 [bar],제품압력 3 [bar],제품압력 4 [bar],제품압력 5 [bar],회전수 [rpm],온도 [℃],#NAME?,외부유량 [lpm],내부유량 [lpm
54.2,-0.15,5.81,5.78,0.09,0.08,0.03,0.11,892.34,29.16,0.0,788.84,-2.57
54.21,-0.19,5.78,5.79,0.09,0.09,0.07,0.12,899.09,29.15,0.0,788.74,-2.72
54.22,-0.22,5.72,5.79,0.08,0.09,0.12,0.13,902.48,29.15,0.0,788.91,-2.83
54.23,-0.23,5.66,5.79,0.06,0.08,0.15,0.15,903.32,29.15,0.0,789.25,-2.9
54.24,-0.21,5.61,5.78,0.03,0.06,0.16,0.16,903.0,29.16,0.0,789.66,-2.91
54.25,-0.17,5.59,5.78,0.01,0.04,0.15,0.18,902.55,29.16,0.0,789.99,-2.87
54.26,-0.12,5.6,5.79,-0.01,0.03,0.12,0.18,902.53,29.17,0.0,790.06,-2.77
54.27,-0.07,5.63,5.83,-0.02,0.01,0.08,0.17,903.07,29.18,0.0,789.79,-2.61
54.28,-0.04,5.68,5.89,-0.02,0.0,0.04,0.14,904.15,29.18,0.0,789.34,-2.42
54.29,-0.04,5.76,5.94,-0.01,-0.01,0.01,0.12,905.85,29.18,0.0,789.01,-2.25
54.3,-0.08,5.84,5.97,0.0,-0.01,0.0,0.1,908.2,29.17,0.0,789.03,-2.14
54.31,-0.14,5.93,5.98,0.02,0.0,0.0,0.08,910.62,29.16,0.0,789.36,-2.11
54.32,-0.19,5.99,5.99,0.04,0.01,0.01,0.08,912.12,29.15,0.0,789.78,-2.17
54.33,-0.2,6.01,6.01,0.06,0.03,0.05,0.09,912.09,29.15,0.0,790.06,-2.34
54.34,-0.19,5.99,6.03,0.07,0.04,0.09,0.11,910.36,29.16,0.0,790.15,-2.57
54.35,-0.17,5.96,6.06,0.08,0.06,0.13,0.13,906.46,29.17,0.0,790.07,-2.79
54.36,-0.15,5.94,6.07,0.07,0.07,0.16,0.15,900.33,29.18,0.0,789.89,-2.96
54.37,-0.16,5.92,6.06,0.06,0.08,0.19,0.17,893.84,29.18,0.0,789.71,-3.06
54.38,-0.17,5.93,6.06,0.04,0.08,0.2,0.18,890.38,29.17,0.0,789.59,-3.03
54.39,-0.17,5.95,6.05,0.02,0.08,0.2,0.18,892.04,29.18,0.0,789.58,-2.88
54.4,-0.16,5.98,6.04,0.0,0.07,0.19,0.18,897.07,29.18,0.0,789.64,-2.67
54.41,-0.15,6.02,6.05,-0.02,0.06,0.16,0.18,900.64,29.19,0.0,789.73,-2.49
54.42,-0.13,6.07,6.06,-0.02,0.04,0.13,0.17,899.07,29.19,0.0,789.77,-2.39
54.43,-0.11,6.12,6.07,-0.02,0.02,0.1,0.17,893.61,29.19,0.0,789.75,-2.4
54.44,-0.08,6.17,6.09,-0.01,0.01,0.07,0.16,889.51,29.18,0.0,789.65,-2.47
54.45,-0.05,6.22,6.1,0.0,0.0,0.06,0.14,890.99,29.17,0.0,789.45,-2.59
54.46,-0.03,6.26,6.12,0.01,0.01,0.06,0.12,897.54,29.17,0.0,789.24,-2.72
54.47,-0.02,6.28,6.15,0.03,0.02,0.07,0.1,905.26,29.17,0.0,789.1,-2.87
54.48,-0.03,6.27,6.18,0.04,0.04,0.1,0.09,910.64,29.17,0.0,789.13,-3.05
54.49,-0.07,6.24,6.22,0.05,0.06,0.12,0.09,912.46,29.17,0.0,789.26,-3.23
54.5,-0.11,6.21,6.25,0.05,0.08,0.14,0.1,911.37,29.18,0.0,789.39,-3.34
54.51,-0.15,6.2,6.26,0.05,0.09,0.15,0.12,908.71,29.18,0.0,789.39,-3.35
54.52,-0.18,6.21,6.25,0.04,0.1,0.15,0.14,905.86,29.18,0.0,789.27,-3.27
54.53,-0.19,6.21,6.22,0.02,0.1,0.15,0.15,903.84,29.18,0.0,789.06,-3.13
54.54,-0.17,6.19,6.19,0.01,0.09,0.14,0.16,903.1,29.18,0.0,788.82,-2.96
54.55,-0.14,6.15,6.16,0.0,0.07,0.13,0.16,903.58,29.17,0.0,788.63,-2.81
54.56,-0.1,6.13,6.14,-0.01,0.06,0.11,0.16,905.14,29.17,0.0,788.64,-2.72
54.57,-0.04,6.15,6.15,-0.01,0.04,0.09,0.15,907.53,29.17,0.0,788.94,-2.7
54.58,0.01,6.2,6.17,0.0,0.02,0.06,0.15,910.01,29.18,0.0,789.4,-2.74
54.59,0.04,6.26,6.2,0.01,0.01,0.05,0.14,911.62,29.19,0.0,789.79,-2.85
54.6,0.01,6.3,6.23,0.02,0.0,0.06,0.14,911.77,29.19,0.0,789.92,-3.01
54.61,-0.05,6.32,6.26,0.03,0.0,0.09,0.14,910.02,29.2,0.0,789.8,-3.18
54.62,-0.11,6.33,6.29,0.05,0.01,0.12,0.14,905.18,29.2,0.0,789.54,-3.29
54.63,-0.14,6.33,6.31,0.06,0.03,0.14,0.15,896.73,29.19,0.0,789.29,-3.29
54.64,-0.12,6.33,6.33,0.07,0.05,0.15,0.16,887.19,29.19,0.0,789.09,-3.2
54.65,-0.09,6.33,6.33,0.07,0.06,0.15,0.17,881.35,29.18,0.0,788.99,-3.05
54.66,-0.06,6.31,6.34,0.07,0.08,0.14,0.18,882.32,29.18,0.0,788.94,-2.88
54.67,-0.04,6.28,6.33,0.06,0.09,0.12,0.18,888.3,29.18,0.0,788.92,-2.74
54.68,-0.04,6.26,6.33,0.05,0.09,0.12,0.19,893.89,29.18,0.0,788.85,-2.66
54.69,-0.06,6.27,6.33,0.02,0.08,0.12,0.2,894.73,29.18,0.0,788.7,-2.67
54.7,-0.1,6.31,6.34,0.0,0.07,0.13,0.21,891.11,29.18,0.0,788.51,-2.74
54.71,-0.12,6.35,6.35,-0.02,0.06,0.14,0.21,887.04,29.18,0.0,788.38,-2.84
54.72,-0.11,6.41,6.36,-0.03,0.04,0.14,0.21,886.13,29.18,0.0,788.37,-2.94
54.73,-0.07,6.46,6.37,-0.03,0.03,0.13,0.21,888.9,29.17,0.0,788.51,-3.02
54.74,-0.02,6.5,6.38,-0.03,0.02,0.11,0.19,893.65,29.17,0.0,788.83,-3.07
54.75,0.01,6.52,6.4,-0.02,0.01,0.09,0.16,898.43,29.18,0.0,789.32,-3.08
54.76,0.01,6.53,6.41,-0.01,0.02,0.07,0.13,902.37,29.18,0.0,789.85,-3.05
54.77,-0.02,6.54,6.43,0.01,0.03,0.04,0.11,906.23,29.18,0.0,790.2,-2.97
54.78,-0.08,6.53,6.45,0.04,0.04,0.02,0.1,910.91,29.19,0.0,790.26,-2.84
54.79,-0.15,6.52,6.47,0.06,0.06,0.0,0.11,915.69,29.19,0.0,790.07,-2.67
54.8,-0.2,6.5,6.47,0.08,0.08,0.01,0.13,918.4,29.19,0.0,789.82,-2.49
54.81,-0.22,6.46,6.45,0.08,0.08,0.06,0.16,917.61,29.19,0.0,789.68,-2.33
54.82,-0.21,6.42,6.43,0.07,0.08,0.13,0.19,914.01,29.19,0.0,789.69,-2.22
54.83,-0.18,6.37,6.42,0.05,0.08,0.19,0.21,909.68,29.19,0.0,789.78,-2.21
54.84,-0.13,6.33,6.43,0.03,0.07,0.24,0.22,906.4,29.18,0.0,789.88,-2.32
54.85,-0.08,6.31,6.45,0.01,0.06,0.26,0.22,904.91,29.18,0.0,789.91,-2.51
54.86,-0.05,6.32,6.48,-0.01,0.04,0.24,0.21,905.19,29.18,0.0,789.76,-2.73
54.87,-0.03,6.38,6.51,-0.01,0.02,0.18,0.2,906.73,29.18,0.0,789.37,-2.92
54.88,-0.02,6.48,6.53,-0.01,0.0,0.11,0.19,907.94,29.19,0.0,788.89,-3.03
54.89,-0.04,6.57,6.55,-0.01,-0.01,0.04,0.18,905.85,29.19,0.0,788.64,-3.04
54.9,-0.08,6.65,6.58,0.0,-0.01,-0.02,0.16,898.67,29.18,0.0,788.81,-2.92
54.91,-0.13,6.7,6.61,0.02,0.0,-0.05,0.14,888.65,29.18,0.0,789.32,-2.73
54.92,-0.15,6.69,6.62,0.03,0.02,-0.07,0.13,880.79,29.18,0.0,789.93,-2.54
54.93,-0.15,6.63,6.62,0.05,0.04,-0.06,0.12,878.69,29.18,0.0,790.39,-2.39
54.94,-0.12,6.54,6.6,0.07,0.06,-0.04,0.13,881.81,29.19,0.0,790.62,-2.32
54.95,-0.08,6.46,6.58,0.07,0.08,-0.01,0.14,886.66,29.2,0.0,790.68,-2.34
54.96,-0.07,6.42,6.56,0.07,0.09,0.03,0.16,890.0,29.2,0.0,790.64,-2.41
54.97,-0.07,6.41,6.56,0.07,0.1,0.05,0.18,891.2,29.2,0.0,790.59,-2.53
54.98,-0.11,6.43,6.57,0.05,0.1,0.07,0.2,892.27,29.2,0.0,790.57,-2.67
54.99,-0.15,6.45,6.57,0.02,0.09,0.07,0.23,895.22,29.2,0.0,790.6,-2.83
55.0,-0.2,6.47,6.57,-0.01,0.08,0.05,0.25,899.23,29.21,0.0,790.66,-2.97
55.01,-0.23,6.49,6.57,-0.03,0.07,0.03,0.25,900.83,29.21,0.0,790.64,-3.03
55.02,-0.21,6.5,6.58,-0.05,0.05,0.01,0.23,897.43,29.21,0.0,790.48,-2.96
55.03,-0.16,6.51,6.59,-0.05,0.03,-0.01,0.19,890.84,29.21,0.0,790.2,-2.8
55.04,-0.09,6.54,6.62,-0.05,0.02,0.0,0.15,886.47,29.21,0.0,789.8,-2.62
55.05,-0.04,6.58,6.66,-0.03,0.01,0.02,0.12,888.42,29.2,0.0,789.3,-2.49
55.06,-0.01,6.64,6.7,-0.01,0.0,0.06,0.1,895.79,29.2,0.0,788.78,-2.42
55.07,-0.02,6.69,6.74,0.01,0.01,0.09,0.09,904.38,29.2,0.0,788.31,-2.44
55.08,-0.07,6.73,6.75,0.04,0.03,0.09,0.09,910.42,29.2,0.0,787.93,-2.54
55.09,-0.13,6.74,6.74,0.06,0.06,0.08,0.1,912.63,29.2,0.0,787.69,-2.69
55.1,-0.17,6.73,6.72,0.08,0.08,0.07,0.11,911.68,29.19,0.0,787.68,-2.87
55.11,-0.18,6.67,6.7,0.09,0.09,0.09,0.13,909.02,29.18,0.0,787.92,-3.08
55.12,-0.16,6.6,6.69,0.08,0.1,0.12,0.15,906.08,29.17,0.0,788.33,-3.27
55.13,-0.12,6.54,6.68,0.07,0.1,0.16,0.18,903.96,29.16,0.0,788.71,-3.38
55.14,-0.07,6.51,6.67,0.05,0.09,0.19,0.2,903.13,29.15,0.0,788.95,-3.35
55.15,-0.03,6.51,6.65,0.02,0.08,0.22,0.22,903.62,29.15,0.0,789.06,-3.22
55.16,-0.03,6.52,6.63,0.0,0.06,0.22,0.23,905.51,29.15,0.0,789.21,-3.02
55.17,-0.06,6.53,6.62,-0.01,0.04,0.21,0.23,908.65,29.16,0.0,789.52,-2.8
55.18,-0.12,6.52,6.62,-0.02,0.02,0.19,0.22,912.11,29.16,0.0,789.94,-2.6
55.19,-0.17,6.53,6.63,-0.02,0.01,0.17,0.2,914.47,29.17,0.0,790.21,-2.46
55.2,-0.21,6.58,6.66,-0.01,0.01,0.16,0.17,914.86,29.18,0.0,790.18,-2.39
55.21,-0.21,6.65,6.69,0.01,0.01,0.15,0.15,912.77,29.18,0.0,789.89,-2.38
55.22,-0.21,6.72,6.73,0.03,0.02,0.15,0.13,906.98,29.18,0.0,789.57,-2.44
55.23,-0.19,6.78,6.75,0.05,0.04,0.14,0.12,897.09,29.17,0.0,789.43,-2.56
55.24,-0.17,6.82,6.76,0.06,0.06,0.12,0.13,885.99,29.16,0.0,789.47,-2.72
55.25,-0.17,6.82,6.75,0.07,0.08,0.1,0.14,879.04,29.15,0.0,789.58,-2.86
55.26,-0.19,6.79,6.74,0.06,0.09,0.09,0.16,879.65,29.15,0.0,789.6,-2.98
55.27,-0.23,6.74,6.72,0.05,0.09,0.09,0.18,885.97,29.15,0.0,789.51,-3.04
55.28,-0.26,6.69,6.7,0.03,0.08,0.09,0.2,892.25,29.15,0.0,789.28,-3.03
55.29,-0.28,6.65,6.68,0.0,0.07,0.08,0.23,893.82,29.15,0.0,788.96,-2.92
55.3,-0.28,6.63,6.67,-0.02,0.06,0.07,0.25,890.77,29.16,0.0,788.66,-2.76
55.31,-0.23,6.63,6.68,-0.04,0.04,0.07,0.25,887.05,29.15,0.0,788.59,-2.62
55.32,-0.14,6.62,6.71,-0.04,0.02,0.08,0.24,886.31,29.15,0.0,788.88,-2.54
55.33,-0.04,6.63,6.75,-0.04,0.0,0.1,0.21,889.13,29.15,0.0,789.46,-2.54
55.34,0.05,6.65,6.79,-0.03,-0.01,0.12,0.18,893.87,29.15,0.0,790.2,-2.61
55.35,0.08,6.69,6.82,-0.02,-0.01,0.13,0.15,898.61,29.15,0.0,790.97,-2.73
55.36,0.05,6.75,6.84,0.0,0.0,0.14,0.13,902.54,29.16,0.0,791.66,-2.87
55.37,-0.01,6.8,6.86,0.01,0.01,0.14,0.12,906.41,29.16,0.0,792.2,-2.98
55.38,-0.09,6.81,6.87,0.03,0.04,0.15,0.13,911.13,29.16,0.0,792.59,-3.03
55.39,-0.17,6.8,6.88,0.05,0.06,0.15,0.15,916.09,29.16,0.0,792.83,-3.02
55.4,-0.22,6.75,6.89,0.06,0.08,0.16,0.16,919.45,29.16,0.0,792.94,-2.93
55.41,-0.22,6.69,6.89,0.06,0.09,0.17,0.17,919.94,29.16,0.0,792.95,-2.76
55.42,-0.18,6.62,6.88,0.06,0.1,0.18,0.18,918.01,29.16,0.0,792.88,-2.56
55.43,-0.12,6.57,6.87,0.04,0.1,0.18,0.18,915.24,29.16,0.0,792.73,-2.4
55.44,-0.05,6.54,6.86,0.03,0.1,0.14,0.18,913.07,29.17,0.0,792.48,-2.34
55.45,0.0,6.54,6.85,0.01,0.08,0.09,0.19,912.06,29.16,0.0,792.17,-2.36
55.46,0.03,6.56,6.84,0.0,0.06,0.03,0.19,912.06,29.16,0.0,791.79,-2.43
55.47,0.01,6.6,6.84,-0.01,0.04,-0.01,0.19,912.63,29.16,0.0,791.34,-2.5
55.48,-0.03,6.66,6.84,-0.01,0.01,-0.03,0.18,912.47,29.16,0.0,790.95,-2.57
55.49,-0.07,6.73,6.84,-0.01,-0.01,-0.01,0.17,908.93,29.16,0.0,790.92,-2.68
55.5,-0.09,6.82,6.85,0.0,-0.01,0.04,0.17,900.45,29.15,0.0,791.39,-2.86
55.51,-0.08,6.9,6.86,0.01,-0.01,0.11,0.17,889.42,29.16,0.0,792.22,-3.06
55.52,-0.06,6.95,6.87,0.03,0.01,0.16,0.17,880.92,29.16,0.0,793.06,-3.21
55.53,-0.05,6.95,6.88,0.05,0.03,0.15,0.17,878.53,29.16,0.0,793.63,-3.23
55.54,-0.05,6.91,6.88,0.07,0.05,0.1,0.17,881.58,29.16,0.0,793.89,-3.13
55.55,-0.07,6.86,6.88,0.08,0.07,0.05,0.17,886.38,29.17,0.0,793.93,-2.95
55.56,-0.12,6.82,6.87,0.08,0.08,0.01,0.17,889.53,29.17,0.0,793.92,-2.74
55.57,-0.17,6.81,6.86,0.08,0.08,0.01,0.18,890.5,29.17,0.0,793.96,-2.54
55.58,-0.2,6.81,6.85,0.06,0.08,0.02,0.19,891.58,29.17,0.0,794.14,-2.43
55.59,-0.2,6.81,6.83,0.03,0.07,0.05,0.21,894.97,29.17,0.0,794.49,-2.43
55.6,-0.17,6.81,6.81,0.01,0.05,0.08,0.23,900.34,29.17,0.0,794.91,-2.52
55.61,-0.12,6.81,6.81,-0.01,0.04,0.09,0.23,905.45,29.17,0.0,795.21,-2.64
55.62,-0.08,6.8,6.81,-0.03,0.02,0.07,0.22,908.44,29.17,0.0,795.25,-2.74
55.63,-0.05,6.8,6.82,-0.03,0.01,0.05,0.2,909.36,29.18,0.0,795.07,-2.8
55.64,-0.05,6.82,6.84,-0.03,0.0,0.03,0.17,910.04,29.17,0.0,794.76,-2.81
55.65,-0.1,6.85,6.86,-0.03,0.0,0.04,0.15,912.21,29.17,0.0,794.44,-2.79
55.66,-0.16,6.88,6.87,-0.01,0.01,0.06,0.12,915.49,29.16,0.0,794.19,-2.75
55.67,-0.23,6.89,6.88,0.0,0.02,0.1,0.11,917.77,29.15,0.0,794.08,-2.69
55.68,-0.26,6.88,6.87,0.02,0.04,0.12,0.11,917.38,29.15,0.0,794.12,-2.63
55.69,-0.27,6.83,6.86,0.04,0.06,0.12,0.12,914.64,29.16,0.0,794.25,-2.58
55.7,-0.23,6.76,6.85,0.06,0.07,0.11,0.13,911.24,29.16,0.0,794.39,-2.56
55.71,-0.18,6.67,6.85,0.07,0.08,0.09,0.15,908.72,29.17,0.0,794.49,-2.6
55.72,-0.12,6.59,6.85,0.07,0.09,0.07,0.16,907.7,29.16,0.0,794.55,-2.68
55.73,-0.06,6.55,6.86,0.06,0.08,0.05,0.16,908.05,29.16,0.0,794.65,-2.78
55.74,-0.04,6.56,6.88,0.04,0.08,0.03,0.17,909.3,29.16,0.0,794.84,-2.89
55.75,-0.03,6.62,6.89,0.01,0.07,0.01,0.17,910.0,29.17,0.0,795.15,-2.98
55.76,-0.05,6.7,6.91,-0.01,0.06,0.0,0.18,907.31,29.17,0.0,795.62,-3.03
55.77,-0.1,6.79,6.94,-0.02,0.04,0.0,0.18,899.55,29.18,0.0,796.24,-3.03
55.78,-0.15,6.87,6.97,-0.02,0.02,0.01,0.18,889.04,29.18,0.0,796.88,-2.98
55.79,-0.16,6.92,6.99,-0.01,0.01,0.03,0.17,880.86,29.18,0.0,797.29,-2.89
55.8,-0.12,6.93,7.0,0.0,0.01,0.05,0.15,878.6,29.18,0.0,797.33,-2.74
55.81,-0.05,6.93,6.98,0.02,0.01,0.07,0.13,881.66,29.18,0.0,797.08,-2.58
55.82,0.02,6.93,6.97,0.05,0.02,0.09,0.12,886.41,29.18,0.0,796.73,-2.43
55.83,0.04,6.94,6.96,0.07,0.04,0.11,0.11,889.52,29.18,0.0,796.49,-2.33
55.84,0.02,6.97,6.95,0.09,0.06,0.12,0.11,890.45,29.18,0.0,796.4,-2.28
55.85,-0.05,7.0,6.95,0.1,0.07,0.13,0.13,891.51,29.18,0.0,796.39,-2.34
55.86,-0.14,7.0,6.94,0.1,0.08,0.14,0.14,894.92,29.18,0.0,796.36,-2.52
55.87,-0.22,6.98,6.92,0.08,0.09,0.14,0.16,899.7,29.18,0.0,796.27,-2.76
55.88,-0.26,6.96,6.9,0.06,0.09,0.12,0.18,901.98,29.18,0.0,796.06,-2.97
55.89,-0.24,6.94,6.89,0.04,0.09,0.1,0.19,898.87,29.17,0.0,795.73,-3.09
55.9,-0.18,6.94,6.89,0.01,0.08,0.07,0.19,892.16,29.17,0.0,795.37,-3.11
55.91,-0.09,6.95,6.89,0.0,0.06,0.06,0.19,887.43,29.18,0.0,795.09,-3.07
55.92,-0.01,6.95,6.91,-0.01,0.04,0.07,0.19,888.94,29.18,0.0,794.99,-3.0
55.93,0.05,6.95,6.94,-0.01,0.02,0.1,0.19,895.97,29.18,0.0,795.08,-2.94
55.94,0.07,6.94,6.97,-0.01,0.01,0.12,0.17,904.33,29.19,0.0,795.33,-2.88
55.95,0.03,6.93,7.01,0.0,0.0,0.12,0.15,910.26,29.19,0.0,795.71,-2.79
55.96,-0.04,6.92,7.04,0.02,0.01,0.1,0.12,912.45,29.2,0.0,796.12,-2.71
55.97,-0.1,6.93,7.07,0.04,0.02,0.07,0.1,911.54,29.2,0.0,796.46,-2.65
55.98,-0.12,6.99,7.08,0.06,0.03,0.04,0.1,908.92,29.2,0.0,796.66,-2.66
55.99,-0.12,7.06,7.08,0.08,0.05,0.03,0.11,906.03,29.19,0.0,796.76,-2.71
56.0,-0.1,7.11,7.08,0.09,0.06,0.04,0.13,903.95,29.19,0.0,796.81,-2.8
56.01,-0.08,7.12,7.07,0.08,0.07,0.07,0.15,903.15,29.19,0.0,796.9,-2.91
56.02,-0.07,7.08,7.07,0.07,0.08,0.12,0.18,903.59,29.19,0.0,797.0,-3.0
56.03,-0.08,7.03,7.05,0.05,0.09,0.17,0.2,905.15,29.2,0.0,797.04,-3.04
56.04,-0.09,7.0,7.03,0.03,0.08,0.21,0.2,907.59,29.2,0.0,796.95,-3.01
56.05,-0.1,7.0,6.99,0.0,0.07,0.23,0.21,910.16,29.2,0.0,796.73,-2.93
56.06,-0.12,7.01,6.96,-0.01,0.05,0.23,0.2,911.83,29.2,0.0,796.46,-2.81
56.07,-0.14,7.03,6.95,-0.03,0.03,0.21,0.2,912.01,29.2,0.0,796.19,-2.7
56.08,-0.16,7.04,6.96,-0.03,0.01,0.18,0.19,910.25,29.19,0.0,796.01,-2.61
56.09,-0.16,7.05,6.98,-0.02,0.0,0.14,0.18,905.37,29.19,0.0,796.06,-2.57
56.1,-0.13,7.07,7.02,-0.01,0.0,0.09,0.16,896.89,29.19,0.0,796.42,-2.6
56.11,-0.07,7.11,7.05,0.01,0.0,0.03,0.13,887.32,29.19,0.0,796.97,-2.68
56.12,-0.03,7.13,7.08,0.02,0.01,-0.02,0.12,881.47,29.19,0.0,797.48,-2.81
56.13,-0.02,7.14,7.1,0.05,0.03,-0.03,0.11,882.44,29.19,0.0,797.81,-2.97
56.14,-0.05,7.14,7.11,0.07,0.05,-0.02,0.12,888.43,29.19,0.0,797.92,-3.12
56.15,-0.09,7.12,7.09,0.08,0.06,0.02,0.13,893.99,29.19,0.0,797.87,-3.18
56.16,-0.14,7.08,7.06,0.08,0.08,0.08,0.14,894.75,29.19,0.0,797.76,-3.12
56.17,-0.18,7.04,7.02,0.08,0.09,0.14,0.15,890.96,29.19,0.0,797.67,-2.96
56.18,-0.17,6.99,6.98,0.06,0.09,0.17,0.16,886.51,29.2,0.0,797.69,-2.79
56.19,-0.11,6.96,6.95,0.04,0.08,0.17,0.17,884.94,29.2,0.0,797.87,-2.68
56.2,-0.02,6.94,6.93,0.01,0.07,0.13,0.2,886.95,29.2,0.0,798.17,-2.62
56.21,0.05,6.93,6.93,-0.01,0.05,0.09,0.22,891.17,29.19,0.0,798.55,-2.59
56.22,0.09,6.93,6.94,-0.02,0.03,0.06,0.23,895.86,29.19,0.0,798.99,-2.54
56.23,0.08,6.94,6.97,-0.03,0.01,0.05,0.23,900.23,29.18,0.0,799.43,-2.49
56.24,0.03,6.97,7.01,-0.02,0.0,0.06,0.23,905.11,29.18,0.0,799.88,-2.48
56.25,-0.06,7.03,7.07,-0.01,0.0,0.08,0.2,911.41,29.18,0.0,800.35,-2.57
56.26,-0.15,7.1,7.13,0.01,0.0,0.1,0.17,917.96,29.18,0.0,800.82,-2.73
56.27,-0.2,7.17,7.17,0.03,0.02,0.13,0.15,921.86,29.18,0.0,801.24,-2.89
56.28,-0.21,7.2,7.19,0.05,0.04,0.15,0.14,921.24,29.18,0.0,801.61,-2.98
56.29,-0.17,7.2,7.19,0.07,0.06,0.17,0.15,916.91,29.19,0.0,801.92,-3.0
56.3,-0.1,7.16,7.17,0.08,0.07,0.19,0.17,911.34,29.19,0.0,802.2,-2.93
56.31,-0.05,7.08,7.15,0.09,0.09,0.19,0.18,906.71,29.19,0.0,802.49,-2.79
56.32,-0.01,7.0,7.12,0.08,0.1,0.17,0.2,904.12,29.19,0.0,802.82,-2.63
56.33,-0.01,6.94,7.1,0.06,0.1,0.14,0.22,903.76,29.19,0.0,803.3,-2.5
56.34,-0.04,6.93,7.07,0.04,0.09,0.08,0.23,905.19,29.18,0.0,803.97,-2.42
56.35,-0.1,6.95,7.03,0.02,0.08,0.02,0.24,906.68,29.18,0.0,804.73,-2.41
56.36,-0.14,7.0,7.02,0.0,0.06,-0.02,0.24,905.03,29.18,0.0,805.37,-2.48
56.37,-0.15,7.07,7.03,-0.02,0.04,-0.02,0.24,898.28,29.18,0.0,805.77,-2.63
56.38,-0.14,7.12,7.06,-0.02,0.02,0.02,0.22,888.58,29.19,0.0,805.96,-2.82
56.39,-0.11,7.17,7.09,-0.02,0.01,0.07,0.19,880.91,29.19,0.0,806.09,-2.97
56.4,-0.07,7.19,7.11,-0.01,0.0,0.1,0.16,878.9,29.19,0.0,806.33,-3.06
56.41,-0.03,7.19,7.11,0.01,0.0,0.1,0.13,882.04,29.19,0.0,806.72,-3.06
56.42,-0.03,7.19,7.09,0.03,0.02,0.09,0.11,886.89,29.2,0.0,807.25,-2.98
56.43,-0.06,7.19,7.08,0.05,0.03,0.05,0.1,890.23,29.2,0.0,807.88,-2.85
56.44,-0.13,7.18,7.07,0.07,0.05,0.01,0.1,891.45,29.2,0.0,808.51,-2.7
56.45,-0.19,7.17,7.07,0.09,0.06,-0.01,0.11,892.55,29.2,0.0,809.05,-2.59
56.46,-0.23,7.12,7.08,0.09,0.08,-0.01,0.12,895.53,29.2,0.0,809.45,-2.55
56.47,-0.25,7.06,7.09,0.07,0.09,0.01,0.13,899.56,29.19,0.0,809.74,-2.57
56.48,-0.23,6.99,7.1,0.06,0.09,0.03,0.14,901.12,29.19,0.0,809.98,-2.59
56.49,-0.18,6.94,7.08,0.03,0.09,0.06,0.15,897.59,29.19,0.0,810.25,-2.58
